x,Curve1
16057.9,14.6282
16352,14.9348
16835.6,15.4021
17641.5,16.1833
18601.9,17.0764
19730.9,18.0955
20677.9,18.9195
21154.9,19.3247
21639.1,19.723
22032.1,20.0445
22411.3,20.3244
22853.8,20.6465
23310.4,20.9686
23696.9,21.228
24006.3,21.4175
24364.9,21.6352
24745,21.8186
25110.9,22.0088
25498.2,22.1854
25942.4,22.3212
26358.8,22.4016
26676.7,22.4326
26952.5,22.4218
27285.3,22.3702
27554.8,22.2766
27831.9,22.1347
28088.4,21.9168
28302.6,21.6984
28581.6,21.3359
28947,20.8157
29197.5,20.4874
29411.9,20.2415
29689.9,19.9893
29989.2,19.7443
30323.1,19.5685
30628.2,19.4477
31031.6,19.4038
31462.8,19.4222
32648.7,19.6282
33841.3,19.8824
35315.6,20.2501
37121.3,20.7248
38870.4,21.2057
40993.2,21.7942
42481,22.2309
44067.7,22.6895
45872.7,23.2331
