x,Curve1
7644.16,8.02613
8002.09,8.58107
8373.83,9.12276
8718.17,9.65533
9126.09,10.2641
9411.55,10.7027
9724.16,11.1905
10014.5,11.5802
10355,12.0058
10654.9,12.3333
10886.8,12.5578
11096.4,12.7108
11228.5,12.7965
11374.5,12.8689
11502.4,12.9011
11630.5,12.92
11767.8,12.9078
11946.6,12.8603
12153.2,12.7641
12341.6,12.6588
12635.6,12.492
12801.1,12.3777
12943.4,12.3121
13085.6,12.2643
13227.6,12.2387
13351.2,12.2397
13511,12.29
13757.4,12.4078
14117.3,12.6556
14486.1,12.9524
14950.1,13.388
15673.1,14.1018
16359.7,14.7796
16928.3,15.3096
17451.3,15.8214
18006.3,16.3423
18547.6,16.8498
19052.5,17.3214
19653,17.8694
